UNITID,OPEID6,INSTNM,CONTROL,MAIN,CIPCODE,CIPDESC,CREDLEV,CREDDESC,COUNT,DEBTMEDIAN,DEBTPAYMENT10YR,DEBTMEAN,TITLEIVCOUNT,EARNINGSCOUNT,MD_EARN_WNE,IPEDSCOUNT1,IPEDSCOUNT2
100654,001002,Alabama A & M University,Public,1,5214,Marketing.,3,Bachelors Degree,18,PrivacySuppressed,PrivacySuppressed,34173,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9,13
100663,001052,University of Alabama at Birmingham,Public,1,0502,"Ethnic, Cultural Minority, Gender, and Group Studies.",3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,6
100663,001052,University of Alabama at Birmingham,Public,1,0901,Communication and Media Studies.,3,Bachelors Degree,86,21474,223,21667,92,84,26300,80,85
100663,001052,University of Alabama at Birmingham,Public,1,0901,Communication and Media Studies.,5,Master's Degree,16,PrivacySuppressed,PrivacySuppressed,29981,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,15,13
100663,001052,University of Alabama at Birmingham,Public,1,1101,"Computer and Information Sciences, General.",3,Bachelors Degree,36,27750,288,25889,34,34,56900,30,35
100663,001052,University of Alabama at Birmingham,Public,1,1101,"Computer and Information Sciences, General.",5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,11,9
100663,001052,University of Alabama at Birmingham,Public,1,1101,"Computer and Information Sciences, General.",6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,7
100663,001052,University of Alabama at Birmingham,Public,1,1110,Computer/Information Technology Administration and Management.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6,4
100663,001052,University of Alabama at Birmingham,Public,1,1301,"Education, General.",8,Graduate/Professional Certificate,24,47353,552,47150,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,23,26
100663,001052,University of Alabama at Birmingham,Public,1,1304,Educational Administration and Supervision.,5,Master's Degree,41,22601,263,25440,48,48,50500,58,11
100663,001052,University of Alabama at Birmingham,Public,1,1304,Educational Administration and Supervision.,6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,107525,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,4,0
100663,001052,University of Alabama at Birmingham,Public,1,1304,Educational Administration and Supervision.,7,First Professional Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8,4
100663,001052,University of Alabama at Birmingham,Public,1,1304,Educational Administration and Supervision.,8,Graduate/Professional Certificate,22,57346,668,56814,22,22,57200,28,7
100663,001052,University of Alabama at Birmingham,Public,1,1310,Special Education and Teaching.,5,Master's Degree,36,28218,329,28717,27,27,43700,29,28
100663,001052,University of Alabama at Birmingham,Public,1,1311,Student Counseling and Personnel Services.,5,Master's Degree,26,47128,549,46115,31,30,34900,30,26
100663,001052,University of Alabama at Birmingham,Public,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",3,Bachelors Degree,95,25500,265,26667,95,91,34600,102,117
100663,001052,University of Alabama at Birmingham,Public,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",5,Master's Degree,71,28500,332,30137,77,74,41000,61,68
100663,001052,University of Alabama at Birmingham,Public,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,2,6
100663,001052,University of Alabama at Birmingham,Public,1,1313,"Teacher Education and Professional Development, Specific Subject Areas.",3,Bachelors Degree,116,23269,241,24781,55,54,28600,101,86
100663,001052,University of Alabama at Birmingham,Public,1,1313,"Teacher Education and Professional Development, Specific Subject Areas.",5,Master's Degree,23,33863,395,36234,20,20,40200,24,15
100663,001052,University of Alabama at Birmingham,Public,1,1314,Teaching English or French as a Second or Foreign Language.,5,Master's Degree,42,10250,119,15491,45,43,45400,44,62
100663,001052,University of Alabama at Birmingham,Public,1,1401,"Engineering, General.",3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,89000,NULL,NULL
100663,001052,University of Alabama at Birmingham,Public,1,1401,"Engineering, General.",5,Master's Degree,102,34166,398,33257,109,105,87300,101,122
100663,001052,University of Alabama at Birmingham,Public,1,1405,Biomedical/Medical Engineering.,3,Bachelors Degree,23,27000,280,25622,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,29,34
100663,001052,University of Alabama at Birmingham,Public,1,1405,Biomedical/Medical Engineering.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9,5
100663,001052,University of Alabama at Birmingham,Public,1,1405,Biomedical/Medical Engineering.,6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6,1
100663,001052,University of Alabama at Birmingham,Public,1,1408,Civil Engineering.,3,Bachelors Degree,27,29250,304,31167,30,28,55800,22,27
100663,001052,University of Alabama at Birmingham,Public,1,1408,Civil Engineering.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,15,13
100663,001052,University of Alabama at Birmingham,Public,1,1408,Civil Engineering.,6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,3
100663,001052,University of Alabama at Birmingham,Public,1,1409,Computer Engineering.,6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0,3
100663,001052,University of Alabama at Birmingham,Public,1,1410,"Electrical, Electronics and Communications Engineering.",3,Bachelors Degree,43,25000,259,28129,30,30,66000,24,44
100663,001052,University of Alabama at Birmingham,Public,1,1410,"Electrical, Electronics and Communications Engineering.",5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9,11
100663,001052,University of Alabama at Birmingham,Public,1,1418,Materials Engineering,3,Bachelors Degree,24,24504,254,24453,28,27,60200,21,23
100663,001052,University of Alabama at Birmingham,Public,1,1418,Materials Engineering,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7,4
100663,001052,University of Alabama at Birmingham,Public,1,1418,Materials Engineering,6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,1
100663,001052,University of Alabama at Birmingham,Public,1,1419,Mechanical Engineering.,3,Bachelors Degree,51,22270,231,23900,36,35,57200,37,40
100663,001052,University of Alabama at Birmingham,Public,1,1419,Mechanical Engineering.,5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9,5
100663,001052,University of Alabama at Birmingham,Public,1,1499,"Engineering, Other.",6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7,2
100663,001052,University of Alabama at Birmingham,Public,1,1601,"Linguistic, Comparative, and Related Language Studies and Services.",3,Bachelors Degree,10,PrivacySuppressed,PrivacySuppressed,23170,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,13,10
